,Group,Quarter,Year,Topic,Special,Word_Count
0,1,FA,2020,ARTS & CULTURE,False,7002
1,2,FA,2020,BUSINESS,False,8689
2,4,FA,2020,TECH,False,1864
3,5,FA,2020,EDUCATION,False,5483
4,6,FA,2020,GREEN,False,4595
5,7,FA,2020,BUSINESS,False,4243
6,8,FA,2020,POLITICS,False,2814
7,10,FA,2020,GREEN,False,5352
8,13,FA,2020,IMPACT,False,4078
9,14,FA,2020,POLITICS,False,4799
10,15,FA,2020,ENTERTAINMENT,False,6367
11,18,FA,2020,POLITICS,False,4768
12,20,FA,2020,ENTERTAINMENT,True,8187
13,22,FA,2020,POLITICS,True,4774
14,23,FA,2020,HEALTHY LIVING,False,2496
15,26,FA,2020,IMPACT,False,5658
16,27,FA,2020,BUSINESS,False,3401
17,29,FA,2020,TRAVEL,False,5406
18,30,FA,2020,POLITICS,True,4134
19,31,FA,2020,HEALTHY LIVING,True,11515
20,32,FA,2020,POLITICS,False,5584
21,33,FA,2020,GREEN,False,3708
22,36,FA,2020,BUSINESS,False,7231
23,37,FA,2020,BUSINESS,False,6810
24,40,FA,2020,IMPACT,False,2122
25,41,FA,2020,IMPACT,False,3502
26,42,FA,2020,HEALTHY LIVING,False,3013
27,46,FA,2020,GREEN,False,3831
28,47,FA,2020,POLITICS,False,2340
29,48,FA,2020,GREEN,False,7598
30,50,FA,2020,BUSINESS,False,4231
31,51,FA,2020,SPORTS,True,3272
32,52,FA,2020,POLITICS,False,3260
33,53,FA,2020,SPORTS,True,5739
34,54,FA,2020,ARTS & CULTURE,False,2445
35,55,FA,2020,POLITICS,False,3640
36,56,FA,2020,ENTERTAINMENT,False,2882
37,57,FA,2020,GREEN,False,7940
38,58,FA,2020,IMPACT,False,2134
39,59,FA,2020,POLITICS,False,2848
40,63,FA,2020,HEALTHY LIVING,False,3530
41,68,FA,2020,POLITICS,False,4823
42,70,FA,2020,BUSINESS,False,2795
