,Group,Quarter,Year,Topic,Special,Word_Count
0,2,SP,2021,EDUCATION,False,4399
1,3,SP,2021,EDUCATION,False,4065
2,4,SP,2021,POLITICS,False,3479
3,5,SP,2021,IMPACT,False,2691
4,6,SP,2021,POLITICS,False,5117
5,7,SP,2021,SPORTS,False,5020
6,8,SP,2021,BUSINESS,False,6841
7,9,SP,2021,BUSINESS,False,3552
8,11,SP,2021,POLITICS,True,4615
9,13,SP,2021,ARTS & CULTURE,False,1922
10,14,SP,2021,POLITICS,False,6484
11,15,SP,2021,GREEN,False,4186
12,16,SP,2021,POLITICS,False,3580
13,17,SP,2021,ENTERTAINMENT,False,7383
14,19,SP,2021,ENTERTAINMENT,False,5863
15,21,SP,2021,HEALTHY LIVING,False,4617
16,23,SP,2021,HEALTHY LIVING,False,5101
17,26,SP,2021,BUSINESS,False,2588
18,27,SP,2021,BUSINESS,False,1543
19,29,SP,2021,SPORTS,True,6585
20,30,SP,2021,TECH,False,3973
21,31,SP,2021,POLITICS,False,4339
22,32,SP,2021,IMPACT,False,4025
23,33,SP,2021,HEALTHY LIVING,False,5363
24,35,SP,2021,POLITICS,False,3546
25,36,SP,2021,HEALTHY LIVING,False,4920
26,37,SP,2021,BUSINESS,False,1904
27,38,SP,2021,POLITICS,False,2103
28,39,SP,2021,HEALTHY LIVING,False,1929
29,40,SP,2021,ARTS & CULTURE,False,2504
30,41,SP,2021,SPORTS,False,3027
31,42,SP,2021,IMPACT,False,3727
32,43,SP,2021,IMPACT,False,6651
33,44,SP,2021,SPORTS,False,4806
34,45,SP,2021,HEALTHY LIVING,False,5220
35,46,SP,2021,POLITICS,False,2846
36,47,SP,2021,ARTS & CULTURE,False,1445
37,49,SP,2021,HEALTHY LIVING,False,2785
38,50,SP,2021,POLITICS,True,5232
39,51,SP,2021,BUSINESS,False,5735
40,52,SP,2021,HEALTHY LIVING,False,4208
41,53,SP,2021,HEALTHY LIVING,False,1918
42,55,SP,2021,GREEN,False,4229
43,58,SP,2021,POLITICS,False,5782
44,59,SP,2021,HEALTHY LIVING,False,5026
45,60,SP,2021,CRIME,False,2854
46,67,SP,2021,SPORTS,False,2577
