Group,Quarter,Year,Topic,Special,Word_Count,Graph_Count,Table_Count
1,FA,20,music and audio,False,6999,15,2
2,FA,20,automotive,False,8686,18,16
4,FA,20,video gaming,False,1864,13,5
5,FA,20,sports,False,5483,32,18
6,FA,20,pets,False,4595,19,7
7,FA,20,style and fashion,False,4240,9,5
8,FA,20,sports,False,2812,18,3
10,FA,20,technology and computing,False,5352,9,11
13,FA,20,medical health,False,4078,20,3
14,FA,20,sports,False,4799,3,8
15,FA,20,science,False,6364,17,4
18,FA,20,business and finance,False,4768,22,18
20,FA,20,healthy living,True,8185,20,21
22,FA,20,events and attractions,True,4774,14,8
23,FA,20,news and politics,False,2496,9,4
26,FA,20,events and attractions,False,5658,19,4
27,FA,20,personal finance,False,3401,6,39
29,FA,20,automotive,False,5404,10,23
30,FA,20,sports,True,4131,7,5
31,FA,20,food and drink,True,11513,68,17
32,FA,20,personal finance,False,5581,26,16
33,FA,20,home and garden,False,3708,11,2
36,FA,20,video gaming,False,7231,40,3
37,FA,20,home and garden,False,6808,7,32
40,FA,20,automotive,False,2120,9,14
41,FA,20,books and literature,False,3502,5,13
42,FA,20,medical health,False,3013,3,16
46,FA,20,medical health,False,3831,14,10
47,FA,20,healthy living,False,2340,24,8
48,FA,20,medical health,False,7598,16,6
50,FA,20,personal finance,False,4231,10,18
51,FA,20,sports,True,3272,9,12
52,FA,20,medical health,False,3260,6,2
53,FA,20,sports,True,5739,5,17
54,FA,20,sports,False,2443,3,1
55,FA,20,events and attractions,False,3640,5,3
56,FA,20,personal finance,False,2882,7,21
57,FA,20,automotive,False,7940,8,24
58,FA,20,style and fashion,False,2134,0,2
59,FA,20,medical health,False,2848,4,5
63,FA,20,healthy living,False,3530,24,10
68,FA,20,movies,False,4820,7,46
70,FA,20,sports,False,2795,3,10
