Group,Quarter,Year,Topic,Special,Word_Count,Graph_Count,Table_Count
24,SP,19,IMPACT,False,1505,5,2
44,SP,19,ENTERTAINMENT,False,2062,9,18
72,SP,19,BUSINESS,False,2739,10,16
100,SP,19,HEALTHY LIVING,False,4691,19,18
102,SP,19,ENTERTAINMENT,False,6097,22,4
138,SP,19,EDUCATION,False,4350,30,6
151,SP,19,BUSINESS,False,2813,10,0
2,SP,19,IMPACT,False,2445,4,14
3,SP,19,ENTERTAINMENT,False,2319,10,2
6,SP,19,GREEN,False,5668,9,7
7,SP,19,GREEN,False,5668,38,8
9,SP,19,GREEN,False,4780,43,16
10,SP,19,IMPACT,False,2803,6,13
11,SP,19,ENTERTAINMENT,False,3797,14,9
15,SP,19,BUSINESS,False,3213,29,2
16,SP,19,SCIENCE,False,3186,17,8
17,SP,19,EDUCATION,False,5000,10,12
18,SP,19,EDUCATION,False,3038,14,2
19,SP,19,HEALTHY LIVING,False,3436,16,3
22,SP,19,WORLDPOST,False,1835,11,2
23,SP,19,ENTERTAINMENT,False,3502,13,14
25,SP,19,HEALTHY LIVING,False,2404,11,8
29,SP,19,POLITICS,False,3210,27,3
31,SP,19,HEALTHY LIVING,False,2519,8,3
32,SP,19,BUSINESS,False,5646,24,12
35,SP,19,IMPACT,False,5705,17,12
36,SP,19,ENTERTAINMENT,False,3267,14,1
38,SP,19,IMPACT,False,2829,33,10
39,SP,19,SCIENCE,False,1266,2,3
40,SP,19,BUSINESS,False,4188,35,14
41,SP,19,ENTERTAINMENT,False,1693,11,3
43,SP,19,POLITICS,False,2947,17,2
45,SP,19,ENTERTAINMENT,False,2618,6,8
46,SP,19,BUSINESS,False,3443,14,6
47,SP,19,TECH,False,2501,7,5
48,SP,19,ENTERTAINMENT,False,2285,24,0
50,SP,19,ENTERTAINMENT,False,3452,9,6
51,SP,19,ENTERTAINMENT,False,3047,4,5
52,SP,19,ENTERTAINMENT,False,2123,17,4
53,SP,19,BUSINESS,False,3638,18,6
54,SP,19,ARTS & CULTURE,False,3613,12,9
55,SP,19,HEALTHY LIVING,False,4164,31,3
56,SP,19,SPORTS,False,2746,4,0
57,SP,19,POLITICS,False,4097,31,6
58,SP,19,HEALTHY LIVING,False,2993,9,3
59,SP,19,BUSINESS,False,4000,29,29
60,SP,19,BUSINESS,False,3680,11,13
61,SP,19,ENTERTAINMENT,False,3777,8,8
64,SP,19,ENTERTAINMENT,False,3036,12,2
66,SP,19,BUSINESS,False,2821,15,9
67,SP,19,BUSINESS,False,2982,2,8
69,SP,19,HEALTHY LIVING,False,3950,21,1
71,SP,19,POLITICS,False,1933,0,0
73,SP,19,BUSINESS,False,2697,18,6
74,SP,19,ENTERTAINMENT,False,2965,18,1
76,SP,19,IMPACT,False,2908,5,6
77,SP,19,POLITICS,False,2254,3,4
79,SP,19,ARTS & CULTURE,False,5350,16,7
80,SP,19,ARTS & CULTURE,False,3922,12,2
81,SP,19,WORLDPOST,False,2912,6,6
85,SP,19,ENTERTAINMENT,False,3772,14,4
86,SP,19,ENTERTAINMENT,False,3036,9,0
87,SP,19,ENTERTAINMENT,False,2443,11,4
88,SP,19,ARTS & CULTURE,False,4524,27,12
89,SP,19,EDUCATION,False,4711,30,7
91,SP,19,ENTERTAINMENT,False,2617,16,4
93,SP,19,POLITICS,False,4152,7,20
95,SP,19,WORLDPOST,False,3448,7,11
96,SP,19,POLITICS,False,2742,4,6
97,SP,19,BUSINESS,False,3878,13,2
99,SP,19,POLITICS,False,4260,12,11
101,SP,19,HEALTHY LIVING,False,5621,33,6
103,SP,19,GREEN,False,2823,11,7
107,SP,19,TECH,False,3873,8,11
108,SP,19,POLITICS,False,3405,6,6
109,SP,19,HEALTHY LIVING,False,3275,12,12
124,SP,19,TASTE,False,2183,10,3
126,SP,19,BUSINESS,False,2164,8,9
127,SP,19,BUSINESS,False,3084,15,19
133,SP,19,SPORTS,False,1714,10,7
136,SP,19,SPORTS,False,2913,9,3
137,SP,19,ARTS & CULTURE,False,2727,6,2
141,SP,19,TASTE,False,1823,14,5
143,SP,19,POLITICS,False,3732,14,4
144,SP,19,ENTERTAINMENT,False,3555,11,7
145,SP,19,HEALTHY LIVING,False,1778,11,0
146,SP,19,ENTERTAINMENT,False,4095,9,6
149,SP,19,SPORTS,False,3174,4,6
154,SP,19,SCIENCE,False,2893,18,0
155,SP,19,ENTERTAINMENT,False,5513,46,3
156,SP,19,BUSINESS,False,4003,21,14
158,SP,19,EDUCATION,False,2132,7,2
159,SP,19,POLITICS,False,1735,10,5
160,SP,19,IMPACT,False,3441,4,13
161,SP,19,TRAVEL,False,2606,15,14
162,SP,19,HEALTHY LIVING,False,2076,3,0
163,SP,19,ENTERTAINMENT,False,2278,16,1
166,SP,19,ENTERTAINMENT,False,5087,15,5
168,SP,19,POLITICS,False,2685,12,3
169,SP,19,HEALTHY LIVING,False,3154,7,5
171,SP,19,BUSINESS,False,3033,7,7
172,SP,19,BUSINESS,False,3389,6,6
173,SP,19,BUSINESS,False,3147,11,6
174,SP,19,GREEN,False,1684,6,0
175,SP,19,HEALTHY LIVING,False,4216,17,49
176,SP,19,BUSINESS,False,4682,7,0
178,SP,19,SPORTS,False,2495,5,2
180,SP,19,BUSINESS,False,4248,18,0
182,SP,19,ENTERTAINMENT,False,4427,22,18
184,SP,19,EDUCATION,False,3153,21,9
